word,Translate
fısıldadı,whispered
öğretmenin,your teacher
dediği,what he said
kelime,word
imge,image
bize,to us
ait,belonging to
birer,one each
emanettir,is a trust
emaneti,trust
çoğaltırsak,if we multiply
zenginleşiriz,we get rich
