Arabic Sentence,English Translation
هل تقتصر الدعوة على احترام عقائد الديانات السماوية الثلاث فحسب؟ أم تشمل العقائد الدينية جميعا؟,Is advocacy limited to respect for the beliefs of the three divine religions only? Or does it encompass all religious beliefs?
حمل البطيخة وفى عودته فكر أن يهديها إلى شيخ القبيلة ففى ذلك فائدة أكثر من أكلها,"He carried the watermelon back, thought he'd show it to the tribal sheikh, it'd be more useful than eating it."
;أوكي يلا نبدا,"Okay, let's get started."
نرغب في شراء كل المعادن التي تتوفر في المنطقة,We'd like to buy all the minerals in the area.
عليهما أن يتعاونا على قطع هذا الخيط,They're gonna have to cooperate in cutting this string.
احتفلت تركيا بذكرى وفاة أتاتورك,Turkey celebrated the death of Atatürk.
أدى سقوط صواريخ في الكريوت إلى إصابة سبعة إسرائيليين,The fall of rockets in the Crewet injured seven Israelis.
كان أنيقا كالعادة تفوح منه رائحة عطر فاخر,He was as elegant as ever. Smells like fancy perfume.
انا اناشد السيد وزير الداخلية على اعدام المسؤولين عن هذه الجريمة حتى يكونوا عبره لغيرهم,I appeal to Mr. Secretary of the Interior to execute those responsible for this crime so they can cross it with others.
لن يكون هناك بعد الآن من أحد فوق العدالة، العدالة ستطول الجميع,There will no longer be anyone above justice. Justice will last for everyone.
من يعمل معه سيطلع على وثائق خطيرة، إنه يريدك لأنه يثق بك,Whoever works with him is gonna be exposed to dangerous documents. He wants you because he trusts you.
تقدم نحوى ووضع القيد الحديدى فى يدى، الغريب أننى استسلمت له تماما,He stepped up to me and put the iron in my hand. It's weird that I totally gave up on him.
بقليل من الحكمة يعود كل شىء إلى مكانه,"With a little wisdom, everything goes back to its place."
أنا أعرف أنك رجل صالح لا تفرق بين مسلم وقبطي، لكن أولاد الحرام يحبون أن يشعلوا نار الفتنة وخصوصا فى الأحياء الفقيرة مثل حينا,"I know you're a good man who doesn't make a difference between a Muslim and my captain, but the bastards like to light a fire of sedition, especially in the slums like ours."
أنا أعرف أنك مسيحية، صليب فى عنقك، أنا مسلم,"I know you're a Christian, a cross in your neck, I'm a Muslim."
قام الرئيس القبرصي تاسوس بابا دوبلوس الذي يزور مصر حاليا والسيدة قرينته بزيارة منطقة الأهرام ومراكب;الشمس;,"The Cypriot President, Tassos Papa Doblos, who is currently visiting Egypt and Mrs. Quraneh, visited the Ahram region and the sunboats;"
شعبنا يمتلك إمكانات هائلة، لو تحققت الديمقراطية ستصبح مصر بلدا قويا متقدما,"Our people have enormous potential. If democracy is achieved, Egypt will be a strong country ahead."
لم يمت إلا مؤخرا في عامه الواحد والثمانين,He didn't die until recently in his eighty-one year.
سمعت صوت وقع أقدام ثقيلة، ثم صوت باب حديدي ضخم يفتح محدثا صريرا,"I heard heavy footsteps, and then a huge iron door opens up a squeak."
حسب الجدول لدي فان رسوم العام الدراسي ستكون ألفا و سبعمائة دولار,"According to my schedule, school year fees are going to be $1,700."
تخلى عن دراسته الجامعية وهو يكتشف عبثية تكديس الشهادات,"He dropped out of college, and he's discovering the insane accumulation of diplomas."
لا يبدو عليه شوق لشيء سوى كأسه,He doesn't seem to be looking forward to anything but his glass.
أريد أن أساعد المرضى الفقراء وأنقل إلى مصر تقنيات;الجراحة;المتقدمة,"I want to help poor patients and transfer to Egypt the techniques of surgery, advanced surgery."
نحن في الأردن من أفقر دول العالم في الأرض الزراعية، فهي لا تشكل ١% من مجموع مساحاتها,We in Jordan are among the poorest countries in the world on agricultural land. They do not make up 1% of their total area.
ذكرت الوكالة في وقت سابق ان ٥٧ شخصا سقطوا قتلى في ثلاثة تفجيرات وقعت بالعاصمة الاردنية;مساء;امس,"The agency reported earlier that 57 people were killed in three bombings in the Jordanian capital, yesterday evening."
تذكرت أن لديه فى مكتب الاستقبال شاشة تكشف أمامه المبنى كله من الداخل,"I remembered he had a screen in front of him, the whole building on the inside."
صاروا يجولون في سياراتهم في الشوارع مستوقفين كل فتاة جميلة ليقدموا لها وردة حمراء;,"They've been walking around in their cars on the streets, stopping every pretty girl to offer her a red rose;"
هذه التحاليل تتم مابين الأسبوع الخامس عشر والأسبوع الثامن عشر من الحمل,These tests are done between the 15th week and the 18th week of pregnancy.
ابتسم ومد يده مصافحا,Smile and reach out with a handshake.
أغلقت نور الحجرة ودلفت فى الظلام إلى فراشها,She closed the room light and went into the dark into her bed.
إننا لا نستطيع أن نبرم أمرا بدون موافقة جلالته,We can't make an order without His Majesty's consent.
وفي سياق الحديث أخبرها كيف رآها لأول مرة,"In the context of the conversation, tell her how he first saw her."
سارا في درب ضيق، وبعد دقائق قليلة استطاعا أن يتبينا مدينة الناصرة التي تهجع بين التلال,"Sarah's on a narrow road, and a few minutes later, they were able to see the city of Nazareth, which is lying in the hills."
ولقد كان، صلى االله عليه وسلم، يكثر من الدعاء الى االله، تعالى، أن يديم على أمته نعمه,"And he prayed to God, and he prayed to him, and he prayed to God, to his nation for his grace."
يغرقان في بحر الهوى، ولا يصغيان إلى همس الناس;ونقدهم;وأقوالهم,"They drown in the sea of fancy, and they don't listen to people whispering and criticizing them and their words."
لقد قرر فى الصباح الذهاب إلى الدير الذى عرف;الطريق;إليه,He decided in the morning to go to the monastery he knew the way to.
لا يستطيع البقاء فى الإسكندرية أكثر من ليلة على كثرة شوقه لزوجته,He can't stay in Alexandria more than a night longing for his wife.
شاركوا في قوات حفظ السلام بقيادة حلف الأطلسي في البوسنة وكوسوفو,Participation in NATO-led peacekeeping forces in Bosnia and Kosovo
ضغطت اسمى على شاشة الكمبيوتر فظهرت البيانات,"I hit my name on the computer screen, so the data showed up."
أدخل ذراعيه في الجاكت بصعوبة ولم يعد بمقدوره أن يحركهما,Get his arms in the jacket hard and he can't move them anymore.
يسهم في تبادل الرأي بين القادة والمسؤولين حول القضايا العربية الراهنة,Contributes to the exchange of views between leaders and officials on current Arab issues
سيادة وزير السجون يقوم بجولة تفتيشية، وسوف يمر عليكم,"Mr. Secretary of Prisons is doing a tour of inspection, and he's gonna come by."
لا تبدو على أي منهن ملامح الحزن، بعضهن جئن بكامل الزينة والأناقة,None of them look so sad. Some of them came in full of fashion and elegance.
المطر لا ينقطع لعدة أيام، ثم يغيب أياما ليعود متصلا,"The rain doesn't stop for a few days, and then he misses days to come back online."
أحيانا كان يبدو لنا من متابعة تقارير المفاوضات التي تجري أن الحركات داخل دارفور نفسها غير متفقة فيما بينها,Sometimes it seemed to us from following up on the negotiating reports that were going on that movements inside Darfur themselves were not in agreement with each other.
انهم يريدون تدميرك وتدمير سمعتك,They want to destroy you and your reputation.
اجتمعت لجنة الوقاية من الغارات برئاسة محافظ المدينة، وقررت زيادة مراكز الإطفاء إلى ثلاثة,"The raid prevention committee, chaired by the city governor, met and decided to increase the fire stations to three."
بين ان عدد المدارس التابعة للمديرية (١٥٧) مدرسة,The number of schools in the Directorate (157)
شهد الشهر الماضي لقاءات بين رئيس الوزراء مع الكتل النيابية للتشاور معهم في التعديل الوزاري,Last month saw meetings between the Prime Minister and the parliamentary blocs to consult with them on the ministerial amendment.
حينما ابتعدا كثيرا عن المحطة حدث انفجار جبار اهتز له الهواء، وفقدا اتزانهما وسقطا,"When they got far away from the station, there was a massive explosion, the air shook him, and they lost their balance, and they fell."
جلسا فى أول مقعد قابلهما فى الحديقة، الشمس طالعة;والجو;منعش,"They sat in the first seat he met in the park, the sun was rising, and the weather was fresh."
المصرى لا يهتم فى الدنيا إلا بثلاثة أشياء: دينه ورزقه وأولاده,"In the world, the Egyptian cares only for three things: his religion, his livelihood, his children."
كنت تخاطبينها بمنتهى المنطق والرزانة وتقنعينها,You've been talking to her so rationally and soberly and convincing her.
فقدوا السمة القومية لهم، وضعفت لغتهم التتارية الأصلية، وسرعان ما ذابوا داخل المجتمع البولندي,"They lost their national character, weakened their original Tatar language, and soon melted into Polish society."
يظهرون فجأة ويختفون مثلما ظهروا,They show up all of a sudden and disappear like they do.
أعرب حمدان عن أمله في حصول صفقة تبادل أسرى واسعة مع الصهاينة,Hamdan expressed the hope that there would be an extensive exchange of prisoners with the Zionists.
يلجأ الكذاب إلى اتهام الآخرين بالكذب، أو اللص إلى اتهام سواه باللصوصية,"A liar accuses others of lying, or a thief to accuse others of banditry."
لا أعرف من منا العاشق والمعشوق,I don't know which one of us is a lover and a lover.
كان المشهد أسطوريا مرعبا أشبه بوصف الجحيم فى;الكتب;المقدسة,"The scene was a terrible myth, like the description of hell in the books, the holy ones."
أنت لا تعترف بوحدة الأمة الهندية؟,You don't recognize the unity of the Indian nation?
قبض على سيدة تسمى بدرية بتهمة تعدد الأزواج,Arrested a lady named Badrea on multiple spousal charges.
ألم يصرح للعالم أن تونس قد عانقت الإبداع في التنظيم,Didn't you tell the world that Tunisia has embraced creativity in organization?
جرعة المخدر الزائدة أدت إلى هبوط حاد فى وظائف المخ، أرجو ان تتقبل تعازى الصادقة,The overdose of the drug has led to a sharp drop in brain function. Please accept my sincere condolences.
كانت قضية فلسطين محور اهتمام لكثير من الكتاب والشعراء ومادة دسمة لأغاني المطربين والمطربات,"The question of Palestine has been the focus of attention for many writers, poets and singer's and singer's songs."
لا يوجد عندنا اضطهاد ولكن يوجد عندنا مشكلة طائفية، وفيه فرق بين مشكلة طائفية وبين اضطهاد,"We have no persecution, but we have a sectarian problem, and it makes a difference between a sectarian problem and persecution."
لم يوافق الأمن على إصدار جواز سفر لي، رغم كل ما دفعت من رشوة,"Security didn't agree to issue me a passport, despite all the bribes I paid."
تعود أن يعمل منذ الصباح الباكر وحتى منتصف الليل بغير أن يشكو أو يتذمر,He used to work early in the morning until midnight without complaining or complaining.
أنا شاهد عيان على جرائمه، تعاملت معه بإخلاص كسائق;خاص,I'm an eyewitness to his crimes. I treated him faithfully as a private driver.
بدأت عمليات الهجرة الجماعية من الإسكندرية، وتبرع الملك والأمراء بالأموال للضحايا,"I started mass migrations from Alexandria, and the king and the princes donated money to the victims."
في التاسع من أبريل ١٩٤٠ قام هتلر بغزو الدانمارك,"On April 9, 1940, Hitler invaded Denmark."
لا بد من التصرف بعقلانية قبل أن تنتشر الفضيحة;بين;الناس,You have to act rationally before the scandal spreads among people.
يجب وقف هذا الاعتداء الشنيع على سمعتنا وكرامة بلادنا,This heinous attack on our reputation and the dignity of our country must be stopped.
لا حق لك يا مستر دالاس أن تسبب لها هذه;الصدمة;العصبية,"You have no right, Mr. Dallas, to cause her this shock; neurological."
لصق الصورة على ورق مقوى بواسطة اللاصق,Stick the picture on a cardboard with a sticker.
الحياة فى أمريكا لها عيوب، لكن ميزتها الكبرى أنها تمنح الفرصة لكل إنسان,"Life in America has flaws, but its great advantage is that it gives every human being a chance."
قالت كاميليا إن حلم حياتها كان أن تسافر إلى باريس يوما,Camilla said her life's dream was to travel to Paris one day.
يبيعون أسلحة تقتل عشرات الألوف من الأبرياء حتى تنهمر عليهم الأرباح بالملايين,They sell weapons that kill tens of thousands of innocent people so their profits collapse in millions.
لم يتعود الغياب الطويل، أخشى أن يكون سوء قد;لحق;به,It's not a long absence. I'm afraid it's a bad thing to do.
هذا ما نسميه قوى حفظ السلام التقليدية المعروفة بالقبعات الزرقاء، إذا هي تعمل تحت راية الأمم المتحدة,"That's what we call traditional peacekeeping forces known as blue hats, so they work under the UN flag."
وفي محافظة العاصمة عمان بلغ عدد المرشحين لعضوية مجلس أمانة عمان الكبرى ١٦٧ مرشحا في اليوم الاول,"In the governorate of the capital, Amman, the number of candidates for the board of the Greater Amman Secretariat was 167 on the first day."
قرر محمود غالب باشا، وزير المواصلات، تحويل بعض عربات السكك الحديدية إلى مستشفى ميدان,"Mahmoud Ghalib Pasha, Minister of Transport, decided to transfer some railway wagons to the Sa &apos; ad hospital"
على المرشح أن يتحدث عن مدى تدينه في الحملة الانتخابية,The candidate has to talk about how much he owes in the campaign.
قيمتها الدفاعية حيوية من الناحية الاستراتيجية كما سيتضح بعد ذلك,"Their defense value is strategically vital, as will be seen next."
لكن مصر حكمها الطغاة أكثر من أى بلد آخر فى التاريخ,But Egypt has ruled more tyrants than any other country in history.
استراتيجية البيت الأبيض في العراق ستبقى على ما هي عليه,The White House strategy in Iraq will remain the same.
بدلا من الانسحاب أمام الإيطاليين صبوا عليهم مدفعيتهم فأصابوا منهم الكثير,"Instead of pulling out in front of the Italians, they poured their artillery on them, and they hit them a lot."
قد جاوز الستين ولم يتزوج لأنه ببساطة لم يجد وقتا لذلك,He passed 60 and didn't get married because he simply didn't have time for it.
لا أقول لك أن نترك الأمور للفوضى وللرغبات الذاتية، إذ لابد من التنظيم والتحديد,I'm not telling you to leave things to chaos and self-interest.
حصلت على جائزة احسن ممثلة عن دورها في مسلسل الوتد في مهرجان القاهرة الرابع للإذاعة والتليفزيون,I got the best actress for her role in Peg at the Fourth Cairo Festival of Radio and Television.
فيما يلي النص الكامل للقاء,The full text of the meeting follows.
حذرت منظمة أطباء بلا حدود من كارثة إنسانية في لبنان بسبب قرب نفاد المواد الأساسية من المستشفيات,Médecins sans frontières warned of a humanitarian disaster in Lebanon due to the imminent depletion of essential hospital materials
اليوم بعد اقرار المحكمة لم يعد مهما تحديد هوية القاتل، بل بات الاهم محاكمته وانزال العقوبة التي;يستحقها به,"Today, after the court's verdict, it's no longer important to identify the killer, but it's more important to try him and impose the punishment he deserves."
كان يفتقر إلى القدرة على تتبع سياق القصة وعلى فهم;نوايا;ودوافع;شخصياتها,He lacked the ability to track the context of the story and to understand her intentions and motives.
عاش طفولته يعاني من نقص التغذية,He lived as a child with undernutrition.
كل البدو هنا يتحدثون بسرعة ويمشون بسرعة، قضيت عمري كله أسأل نفسي عن سبب ذلك ولم أصل إلى إجابة,"All the Bedouins here talk fast and walk fast. I spent my whole life asking myself why, and I didn't get an answer."
ترعة المحمودية هى التى خلقت الإسكندرية فى;العصور;الحديثة,Mahmudiyah's herd created Alexandria in modern times.
ليس في هذه السيارة قطعتان من بلد واحد، كل قطعة حديد فيها من بلد,"There aren't two pieces in this car from one country, each piece of iron from one country."
المسافة من العصر إلى المغرب فى الشتاء تمر كلمح البصر,The distance from the age to Morocco in winter passes as a glimpse.
تلوم نفسها بشدة لأنها لم تر إشارات واضحة فى سلوك زوجها من البداية,She blames herself for not seeing clear signs of her husband's behavior in the first place.
مشاهدينا الكرام أهلا وسهلا بكم معنا في هذا اللقاء الخاص مع السيد محمود عباس,Welcome to this special meeting with Mr. Mahmoud Abbas.
الطريق إلى الجحيم مليء بذوي النوايا الحسنة,The road to hell is full of good intentions.
كانت السفن راسية بالقرب من جزيرة أرواد,The ships were docked near Arawad Island.
زين العابدين وغد ولكن لا صلة له بالسلطة فضلا عن أنه يخشاها لانحرافه,"Zine El Abedine is a bastard, but he has nothing to do with power, and he fears her for his perversion."
لا يعرف الوهن او التراجع، فرأيه نافذ و كلمته مطاعة,He doesn't know how weak or backwards. He's got a good opinion and a good word.
مطر كاتب من أصل ليبي، ولد في مدينة نيويورك ليبيين أبوين من ١٩٧٠,"Rain is a writer of Libyan origin, born in New York City, Libyan parents from 1970."
لقد عثرنا في قبو المقهى على جثة مجهولة، نحن في;انتظار;الشرطة,"We found an unidentified body in the basement of the coffee shop. We're in wait, the police."
قال لنفسه: إن االله أعطاه ثروة طائلة، فعليه أن ينفق بما يوازى قدرته,"He said to himself, ""God has given him a fortune. He has to spend as much as he can."""
تطش قرون الفلفل واحدا بعد الآخر فى الزيت المغلى لتطهو أكلتها المحببة,"Pepper horns, one by one, in boiled oil to cook their lovely food."
لا أبالغ إن تصورت احتمالات قتلك من قبلهم,I don't exaggerate if I imagine the odds of you being killed by them.
بعد ذلك يتم إرسال صورة من وثيقة الزواج إلى السجل المدنى فى القاهرة,Then a copy of the marriage certificate is sent to the civil registry in Cairo.
إن الأرض مؤلفة من طبقات عديدة ونحن نسير على;القشرة;منها,The Earth is made up of many layers as we walk on the crust of it.
سوف تكمل دراستها في قسم الاتصالات المرئية في الجامعة الأمريكية بدبي,She's gonna complete her studies at the Department of Visual Communications at U.S. University in Dubai.
كان يرتدى بدلة زرقاء ماركة كريستيان ديور اشتراها خصيصا;للمناسبة,He was wearing a blue Christian Dior suit that he bought specially for the occasion.
الحكومة الفلسطينية تمثل ارادة الشعب الفلسطيني في ظل انتخابات نزيهة شهد العالم بنزاهتها,The Palestinian Government represents the will of the Palestinian people in the context of fair elections the world has witnessed with its integrity.
توجه إلى السفارة الأمريكية حيث قدم طلبا للهجرة,He went to the U.S. Embassy where he applied for immigration.
سوف تخسر البنت سنة دراسية ولكن هذا أفضل من أن تخسر عمرها,"The girl's gonna lose a school year, but it's better than losing her age."
وجدت دراسة استرالية صينية ان ممارسة نشاط بدني معتدل مثل الأعمال المنزلية تقيك مخاطر;الإصابة;بسرطان;المبيض,"A Chinese Australian study found that moderate physical activity, such as household chores, can protect you from the risks of cancer; ovarians."
لا بد أنه تساءل: ما الذى أتى بهذه الفتاة الريفية إلى أمريكا؟,"He must have wondered, ""What brings this rural girl to America?"""
عاد رأفت حزينا إلى البيت، فوجد زوجته ممددة على الأريكة,"She came home sad, found his wife lying on the couch."
تجادلا حتى انتهى الأمر بأن ضربه شقيقه وتدخل الجيران للتفريق بينهما وأدخل المستشفى بسبب نوبة عصبية,"They argued until he ended up being beaten by his brother, and the neighbors broke up with them, and he went to the hospital for a nervous seizure."
كنت ابحث عن قطعة ارض لانشاء مزرعة صغيرة عليها,I was looking for a piece of land to build a small farm on.
لماذا هربوا وكان العشاء جاهزا؟;,Why did they run away and have dinner ready?
ما الذى جعلها تسرف هذا الإسراف، وهى تعلم أن راتب زوجها لا يتجاوز ثلاثة جنيهات كل شهر؟,"What made her spend that extravagance, knowing that her husband's salary was not more than three pounds a month?"
سيتم خلال الشهر الحالي افتتاح معهد للغات بمركز المعلومات,"During the current month, a language institute will be opened at the Information Centre."
قلت لأذهب الى بيت المخرج علي أجده فأعرف منه أسباب اعتقال الكاتب فوجدته معتقلا هو الآخر,"I said I'd go to the director's house and find him, so I figured out why the writer was arrested, so I found him arrested, too."
أنت قادرة على العطاء أكثر من قدرتك على الأخذ,You can give more than you can take.
أوصاه مجد الدين بأن لا يكلف أمه مشقة الحضور لزيارة قبر ابنها,Majiduddin told him not to cost his mother the trouble of coming to visit her son's grave.
لست أدري كيف أقص هذه الحكاية العجيبة,I don't know how to tell this weird story.
التحديات الاقتصادية تتمثل في قلة الاقبال على العمل في القطاع الخاص بسبب قلة المزايا وقلة نسبة عمل المرأة في القطاع المصرفي والاستثماري والصناعي والمهني,"Economic challenges are the lack of access to employment in the private sector due to the lack of benefits and the low proportion of women working in the banking, investment, industrial and professional sectors"
لا يمكن أن ينام قبل أن يشاهد على القناة الرياضية مباراة كاملة فى مصارعة المحترفين,He can't sleep until he's seen a full game of professional wrestling on the gym.
مجرد جلوس كل هذه الأطراف على هذه الطاولة يعتبر انتصارا لمن نادى بالدبلوماسية وبالحلول السياسية وليس بالحلول العسكرية منذ البداية,"Just sitting all these parties at this table is a victory for those who have called for diplomacy and political solutions, not military solutions from the beginning."
اتصلت بمدير المشفى وهو يؤكد أنه ليس هنالك ما يدعو إلى القلق,"I called the hospital director, and he says there's nothing to worry about."
موسيقاها أثارت مشاعرنا كحركة ريح على سطح الماء,Her music raised our feelings like a wind movement on the surface of water.
يحتوي الموقع على عدد كبير من البطاقات الرائعة المصممة ببرنامج فلاش,The site contains a large number of wonderful cards designed for Flash.
أنت الآن غنية، وباستطاعتك أن تعثرى على سكن بسهولة,"Now you're rich, and you can easily find housing."
لم يملك فى النهاية غير أن يبتسم فزال الرعب من على وجهى هلال وعامر,He didn't have in the end but to smile... and the horror came out of my face.
كانت الأسرة في مكة لأداء شعائر العمرة في شهر;رمضان;المبارك,"The family was in Mecca to perform the rituals of age in the month of Ramadan, the blessed."
لا أدري لماذا تكون أغلب حالات الولادة في منتصف الليل,I don't know why most births are in the middle of the night.
تدرج في الرتب العسكرية من رتبة ملازم حتى رتبة لواء ركن شغل خلالها عديدا من الوظائف مثل قائد فصيل,"Inserted into the military ranks of a lieutenant, up to the rank of a corner brigade, during which he filled many posts, such as a platoon commander."
لاحظت أن عينيه تعكسان دوما تعبيرا ساخرا، لكنه ما إن يبدأ فى الحديث حتى يكتسب وجهه طابعا جادا,"I noticed that his eyes always reflected a cynical expression, but once he started talking, he got his face serious."
انني سني متزوج من شيعية وقد تركت منطقتي الدورة الى الزعفرانية لأسكن وسط أهل زوجتي,"I'm married to Shiite, and I've left my spinal zone to saffron to live among my wife's parents."
اقترح هتلر على الحكومة البريطانية تسوية النزاع بتسليم إقليم دانزج إلى ألمانيا;,Hitler proposed to the British Government to settle the dispute by handing over Danzig territory to Germany;
إن هناك بعض الأدلة عن وجود روابط بين عبداالله والقاعدة,There's some evidence of links between Abdullah and Al Qaeda.
اضاف جلالته في مقابلة نشرتها صحيفة اللوموند الفرنسية امس ان اسرائيل تخطىء اذا ظنت ان بامكانها غسل يديها من المشكلة الفلسطينية ورميها;على;الاردن,His Majesty added in an interview published yesterday by the French newspaper Almund that Israel was mistaken if she thought she could wash her hands of the Palestinian problem and throw it at the Jordans.
استخدم الألمان نوعا جديدا من القنابل فوق لندن، قنابل حارقة تشعل النار الجهنمية فى كل مكان,"The Germans used a new type of bomb over London, incendiary bombs that set hell on fire everywhere."
ذهبا إلى السينما ثم تناولا العشاء فى مطعم إيطالى على البحيرة,They went to the movies and had dinner at an Italian restaurant on the lake.
كل شعب فى العالم ينال الحكومة التى يستحقها، هكذا قال ونستون تشرشل,"Every people in the world gets the government they deserve, so Winston Churchill says."
يفضل الظلام على النور والغموض على الوضوح,It prefers darkness over light and mystery over clarity.
بدأ يقرأ كلمته من ورقة أمامه على المنصة مكتوبة بحروف كبيرة لأنه لا يستعمل نظارة القراءة أبدا,"He started reading his word from a paper in front of him on the stand, written in big letters, because he never uses reading glasses."
هل من العدل أن نأتى إلى العالم بطفل لا يرغب فيه أحد؟,Is it fair to bring into the world a child no one wants?
نجحوا في رفع كفاءة الموارد البشرية السنغافورية;وتوطين;التقنية,They've succeeded in raising Singapore's human resource efficiency;
أخذت حماما ساخنا واحتسيت كوبا كبيرا من القهوة,I took a hot shower and had a big cup of coffee.
ساهم بقسط كبير في توحيد المغاربة حول مطلب الاستقلال,It has greatly contributed to the unification of the Moroccans around the demand for independence.
إنه مدير المطعم وصاحبه المشرف على تصريف شؤونه في الترتيب والنظافة والتموين والضيافة,"He's the manager of the restaurant and his boss in order, cleaning, catering and hospitality."
لم يتزوج لأنه لا يؤمن بمؤسسة الزواج وليس بمقدوره أن يتحمل مسئولية إحضار أطفال إلى هذا;العالم;الفاسد,He didn't get married because he doesn't believe in the institution of marriage and he can't take responsibility for bringing children into this world.
الدوري القطري مع بداية الموسم القادم سيكون له شأن عظيم جدا,The country league by the beginning of next season will be a very big deal.
كان الشيخ سليمان يستخدم جيشه السري من العميان في إيصال تعليماته وأوامره إلى الوجهاء والمشايخ,Sheikh Sulaiman used his secret army of blinds to deliver his instructions and orders to the fascists and elders.
يحاول السائق ثانية وثالثة تشغيل سيارته الواقفة في طريق;عام,Driver again and three trying to run his car parked on a public road.
رفض صاحب مطعم استقبالهما بحجة أن المطبخ مغلق، مع أن زبائن آخرين كانوا فى نفس اللحظة ينتظرون الوجبات التي طلبوها,"The owner of the restaurant refused to receive them on the grounds that the kitchen was closed, even though other customers were at the same moment waiting for the meals they asked for."
كنت متعبا، لم أكن مستعدا للمزيد من الجدل والمشاكل,I was tired. I wasn't ready for any more arguments and problems.
نعتقد أن وقفا لاطلاق النار أمر عاجل,We think a ceasefire is urgent.
يذكر أن هذه المنطقة الأردنية تضم العديد من المصانع الإسرائيلية التي تشغل عمالا أردنيين,This area of Jordan is said to have many Israeli factories that employ Jordanian workers.
في الحرب الثانية قتل أخي الأصغر وفي الثالثة سقط الشاه فوق أكوام من الجثث,"In the Second War, my younger brother was killed, and in the Third, the Shah fell over piles of bodies."
انخفض سعر البرميل بمقدار ١٫٢٧ دولار ليبلغ دولار ٧٠٫٣٦,The price of the barrel was reduced by $1.27 to $70.36.
تستهدف النشاطات تعزيز القدرات المهنية من خلال الدمج بين البعد النظري والبعد العملي,Activities are aimed at strengthening professional capacities through the integration of the theoretical and practical dimensions
من الجدير ذكره هنا أن حصة أوروبا في إجمالي واردات الكويت تبلغ حوالي الثلث,It should be noted here that Europe &apos; s share in Kuwait &apos; s total imports is about one third.
يجب عليها أن تحترم نصيحة أبويها لأنهما أكثر خبرة منها ولا يريدان إلا خيرها وسعادتها,"She has to respect the advice of her parents because they're more experienced than she is, and they only want her best and happy."
شدد على حق بلاده في امتلاك التكنولوجيا النووية مؤكدا ان طهران ليست مهتمة بامتلاك سلاح نووي,"He stressed his country &apos; s right to possess nuclear technology, stressing that Tehran was not interested in possessing a nuclear weapon."
هممت أن أستطلع الأمر من خلال النافذة لكني تراجعت في آخر لحظة وعجلت أنزل السلم,"I wanted to look through the window, but I pulled back at the last minute and rushed down the stairs."
يجب علينا جميعا المساهمة ولو بجزء بسيط في التخفيف من الحصار المفروض على إخواننا,We must all contribute even a small fraction to the easing of the siege imposed on our brothers.
عملت على الحد من التغلغل الإيراني في المناطق;الشيعية;الأفغانية,I worked to limit Iranian penetration into areas; Shiite; Afghan.
يتعاملون مع غيرهم وفق المنظور الطائفي,They're dealing with others in a cult perspective.
لم يستطع للحظة واحدة أن يبعد زينب عن ذهنه,He couldn't get Zaneb out of his mind for a second.
اندفع بعض الحاضرين وطلبوا التصوير مع سيادة الرئيس فاستجاب وأشار للحرس فأفسحوا لهم,Some of the people who came in and asked for a photo shoot with the President responded and pointed to the guards and made room for them.
نعرف أنك قادر على مساعدتنا في المحافظة على مصدر رزقنا.. لن نطلب منك الكثير,We know you can help us maintain our livelihood... we won't ask much of you.
حتى لو كنت مسئولا فى السفارة المصرية ، فليس من;حقك أن تقتحم بيتى,"Even if you're in charge of the Egyptian embassy, you don't have the right to break into my house."
خطر لى أنى أحلم وأن كل ما يحدث غير حقيقى,It occurred to me that I was dreaming and that everything wasn't real.
ألا تعتقد أن المظاهرات والإضرابات ستفضى بالبلد;إلى;الفوضى؟,Don't you think demonstrations and strikes will lead the country to chaos?
لقد كنت بعد الاستقلال أهرب من المناصب السياسية;التي عرضت;علي,"After independence, I was running away from the political posts that I offered;"
إيران تؤكد أنها لا تود الحصول على سلاح نووي,Iran confirms that it doesn't want to have a nuclear weapon.
عندما أراد ملك مصر مقاتلة جيوش التتار، فرض ضرائب باهظة على الشعب المصري;,"When the King of Egypt wanted to fight the Tatars, he imposed heavy taxes on the Egyptian people;"
استدار وهرع إلى الخارج، وسرعان ما علا صوت;سيارته وهى تبتعد,"Turn around and run outside, and soon he's got the sound of his car, and she's walking away."
كانت حول رقبته سلسلة سميكة من الذهب,"It was around his neck, a thick chain of gold."
بدأ يوجه اللوم لنفسه، لماذا كنت قاسيا معها؟ كان علي أن أعطيها الكتاب الذي طلبته;,"He started blaming himself, why were you so cruel to her? I had to give her the book you asked for;"
الفتنة موجودة فى كل وقت وبين كل طائفة وأختها، بلدنا محسودة يا خواجة ديمترى;,"The sedition exists all the time between every sect and its sister, our country is envied, Dmitri claw;"
اعلنت ادارة النادي عن صرف مكافآت للاعبين تقديرا للأداء الذي قدموه اثناء المواجه;,The club's administration announced that rewards would be paid to players in recognition of the performance they had performed during the confrontation;
كرر حداد عادل إعلان استعداد بلاده لمواصلة الحوار بشأن رزمة المقترحات الأوروبية وتسوية موضوع البرنامج النووي السلمي;,A just mourning reiterated his country &apos; s readiness to continue dialogue on the European package of proposals and the settlement of the subject of the peaceful nuclear programme;
يؤكد الملك أن العام الحالي فرصة لإنهاء العنف وتحقيق السلام وبناء المستقبل الاقتصادي;,"The King affirms that this year is an opportunity to end violence, achieve peace and build the economic future;"
تم تحذير الناس من التوجه إلى ضاحية سيدى بشر ليلا خارج نطاق شريط الترام,"People were warned not to go to the suburb, sir."
